Date,Flow,Temp,,,,
14-May-14,69.5,13.7,,,,
15-May-14,62.0,14.3,,,,
16-May-14,57.8,14.7,,,,
17-May-14,55.1,15.0,,,,
18-May-14,49.3,15.9,,,,
19-May-14,53.7,16.2,,,,
20-May-14,45.3,16.4,,,,
21-May-14,44.0,16.4,,,,
22-May-14,48.9,16.4,,,,
23-May-14,57.8,16.1,,,,
24-May-14,66.5,15.6,,,,
25-May-14,78.6,15.6,,,,
26-May-14,77.8,15.6,,,,
27-May-14,101.1,15.0,,,,
28-May-14,106.1,14.2,,,,
29-May-14,102.1,13.9,,,,
30-May-14,113.6,14.2,,,,
31-May-14,109.6,14.1,,,,
01-Jun-14,76.2,14.6,,,,
02-Jun-14,67.4,15.0,,,,
03-Jun-14,73.8,15.7,,,,
04-Jun-14,61.5,15.7,,,,
05-Jun-14,63.4,15.4,,,,
06-Jun-14,58.4,15.6,,,,
07-Jun-14,60.0,16.2,,,,
08-Jun-14,57.6,16.5,,,,
09-Jun-14,61.9,16.8,,,,
10-Jun-14,53.0,17.6,,,,
11-Jun-14,53.1,18.0,,,,
12-Jun-14,48.5,18.2,,,,
13-Jun-14,37.7,18.7,,,,
14-Jun-14,60.2,19.0,,,,
15-Jun-14,83.5,18.6,,,,
16-Jun-14,56.4,17.8,,,,
17-Jun-14,53.6,17.3,,,,
18-Jun-14,45.0,17.5,,,,
19-Jun-14,35.9,17.6,,,,
20-Jun-14,40.1,17.6,,,,
21-Jun-14,38.1,17.9,,,,
22-Jun-14,37.0,18.4,,,,
23-Jun-14,32.2,18.7,,,,
24-Jun-14,32.9,19.0,,,,
25-Jun-14,25.1,19.3,,,,
26-Jun-14,28.1,19.5,,,,
27-Jun-14,26.9,19.4,,,,
28-Jun-14,26.3,19.4,,,,
29-Jun-14,40.7,18.8,,,,
30-Jun-14,43.6,18.5,,,,
01-Jul-14,31.8,18.2,,,,
02-Jul-14,28.5,18.4,,,,
03-Jul-14,29.4,18.8,,,,
04-Jul-14,25.8,19.1,,,,
05-Jul-14,25.5,19.6,,,,
06-Jul-14,28.8,19.3,,,,
07-Jul-14,29.0,19.1,,,,
08-Jul-14,25.0,19.0,,,,
09-Jul-14,39.4,18.8,,,,
10-Jul-14,36.6,18.7,,,,
11-Jul-14,32.1,18.3,,,,
12-Jul-14,30.3,18.2,,,,
13-Jul-14,26.8,19.0,,,,
14-Jul-14,29.1,19.3,,,,
15-Jul-14,19.3,19.7,,,,
16-Jul-14,20.7,20.1,,,,
17-Jul-14,20.8,20.5,,,,
18-Jul-14,20.7,20.7,,,,
19-Jul-14,24.8,21.3,,,,
20-Jul-14,20.3,21.5,,,,
21-Jul-14,28.0,21.5,,,,
22-Jul-14,20.7,21.3,,,,
23-Jul-14,24.9,21.5,,,,
24-Jul-14,20.3,21.7,,,,
25-Jul-14,19.7,21.9,,,,
26-Jul-14,15.3,21.8,,,,
27-Jul-14,18.5,22.0,,,,
28-Jul-14,23.6,22.1,,,,
29-Jul-14,19.8,21.5,,,,
30-Jul-14,22.5,21.4,,,,
31-Jul-14,16.5,21.3,,,,
01-Aug-14,11.3,21.3,,,,
02-Aug-14,11.4,21.3,,,,
03-Aug-14,16.1,21.0,,,,
04-Aug-14,19.0,20.8,,,,
05-Aug-14,14.9,20.8,,,,
